NAME,G,CAP HIT
1. Auston Matthews,69,11.64025
2. Sam Reinhart,57,6.5
3. Zach Hyman,54,5.5
4. Nathan MacKinnon,51,12.6
5. Artemi Panarin,49,11.642857
6. Filip Forsberg,48,8.5
7. David Pastrnak,47,11.25
8. Brayden Point,46,9.5
9. Kirill Kaprizov,46,9.0
10. Nikita Kucherov,44,9.5
11. Jonathan Marchessault,42,5.0
12. Sidney Crosby,42,8.7
13. Mikko Rantanen,42,9.25
14. Leon Draisaitl,41,8.5
15. Steven Stamkos,40,8.5
16. William Nylander,40,6.962366
17. Brock Boeser,40,6.65
18. Chris Kreider,39,6.5
19. J.T. Miller,37,8.0
20. Frank Vatrano,37,3.65
21. Brady Tkachuk,37,8.205714
22. Sebastian Aho,36,8.46025
23. Brock Nelson,34,6.0
24. Carter Verhaeghe,34,4.166667
25. Kyle Connor,34,7.142857
26. Elias Pettersson,34,7.35
27. Tyler Toffoli,33,4.25
28. Bo Horvat,33,8.5
29. Dylan Larkin,33,8.7
30. Travis Konecny,33,5.5
31. Clayton Keller,33,7.15
32. Nick Suzuki,33,7.875
33. Seth Jarvis,33,0.894167
34. Connor McDavid,32,12.5
35. Wyatt Johnston,32,0.894167
36. Alex Ovechkin,31,9.5
37. Jack Eichel,31,10.0
38. Jordan Kyrou,31,8.125
39. Trevor Moore,31,4.2
40. Lucas Raymond,31,0.925
41. Yegor Sharangovich,31,3.1
42. Kyle Palmieri,30,5.0
43. William Karlsson,30,5.9
44. Joel Eriksson Ek,30,5.25
45. Roope Hintz,30,8.45
46. Blake Coleman,30,4.9
47. Jake Guentzel,30,6.0
48. Nazem Kadri,29,7.0
49. Kevin Fiala,29,7.875
50. Brad Marchand,29,6.125
51. John Tavares,29,11.0
52. Jared McCann,29,5.0
53. Tage Thompson,29,7.142857
54. Jason Robertson,29,7.75
55. Matthew Boldy,29,7.0
56. Valeri Nichushkin,28,6.125
57. Bryan Rust,28,5.125
58. Adrian Kempe,28,5.5
59. Timo Meier,28,8.8
60. Owen Tippett,28,1.5
61. Drake Batherson,28,4.975
62. Cole Caufield,28,7.85
63. Alexis Lafrenière,28,2.325
64. John-Jason Peterka,28,0.855833
65. Evgeni Malkin,27,6.1
66. Joe Pavelski,27,3.5
67. Pavel Buchnevich,27,5.8
68. Dylan Strome,27,5.0
69. Alex DeBrincat,27,7.875
70. Jesper Bratt,27,7.875
71. Nico Hischier,27,7.25
72. Jack Hughes,27,8.0
73. Jake Neighbours,27,0.835833
74. Mika Zibanejad,26,8.5
75. Sean Monahan,26,1.985
76. Ryan O'Reilly,26,4.5
77. Anze Kopitar,26,10.0
78. Brandon Saad,26,4.5
79. Mitchell Marner,26,10.903
80. Matthew Tkachuk,26,9.5
81. Brandon Hagel,26,1.5
82. Robert Thomas,26,8.125
83. Mark Scheifele,25,6.125
84. Tyler Seguin,25,9.85
85. Matt Duchene,25,3.0
86. Teuvo Teräväinen,25,5.4
87. Vincent Trocheck,25,5.625
88. Charlie Coyle,25,5.25
89. Nikolaj Ehlers,25,6.0
90. Evander Kane,24,5.125
91. Jeff Skinner,24,9.0
92. Adam Henrique,24,5.825
93. Nicholas Paul,24,3.15
94. Anthony Duclair,24,3.0
95. Martin Necas,24,3.0
96. Fabian Zetterlund,24,1.45
97. Nils Höglander,24,1.1
98. Aleksander Barkov,23,10.0
99. Vladimir Tarasenko,23,5.0
100. Roman Josi,23,9.059
101. Anthony Mantha,23,5.7
102. Gustav Nyquist,23,3.185
103. Lawson Crouse,23,4.3
104. Mathew Barzal,23,9.15
105. Kirill Marchenko,23,0.925
106. Boone Jenner,22,3.75
